asin,title,price,old_price,rating,review_count,sales_last_month,link
B0GQ36CL4B,"Lux Kozmetik Makyaj Çubuğu, Pamuklu Kozmetik Temizleme Çubukları, 80 Adet",159.0,159.0,5.0,1.0,,None
B0CVSCL9CR,wellLineSeyahat Kiti-4'lü Doldurulabilir Şişe Seti + Kozmetik Kutu,159.0,,4.4,2.0,,None
B0GQ4D5CB3,Lüks Lacivert Kot Makyaj ve Kozmetik Seyahat Çantası,179.99,,5.0,1.0,,None
B0GYJNPBSZ,"Seyahat Şişesi Seti 6 Parça(5 Dolum Kabı + 1 Taşıma Çantası) – Uçak Kabin Uyumlu Dolum Şişeleri, Şampuan, Krem ve Kozmetik Taşıma Seti, Sızdırmaz Kapaklı, Şeffaf Çantalı (Krem Renk)",38.32,229.9,,,,None
B0DJKBGWJJ,Makyaj Çantası Sert Kapaklı Kozmetik Seyahat Organizeri Çok Amaçlı Siyah,449.9,,4.4,47.0,,None
B073X22NYZ,Kozmetik Traş Aleti,329.0,,5.0,4.0,,None
B0F6NQ3SNQ,2 Katlı Makyaj Organizeri Kozmetik Aksesuar Düzenleyici Kozmetik Vitrini (Duman Gri),179.99,,4.8,22.0,,None
B00CN4L5DM,"SHANY Kozmetik Şeffaf Makyaj Çantası, Omuz Askılı Pro Mua Yuvarlak Çanta, Büyük",1897.0,,4.6,719.0,,None
B0CQCRCYPJ,Kadın Kozmetik El Çantası Fermuarlı Love Moschino JC5310PP1IK2200A,11055.56,,4.0,1.0,,None
B09Y8Y1NDT,Av A Dos Erkek Siyah Vegan Deri Tıraş Seyahat Kozmetik Portföy Bakım El Çanta Günlük,299.9,,3.8,120.0,,None
B0BR5SSPN4,Eynel Şeffaf Makyaj Malzemesi Organizer Büyük Kristal Makyaj Masası Organizatörü Kozmetik Düzenleme Kutusu Güzellik Malzemesi Düzenleyici (Çekmeceli Model),309.99,,3.6,5.0,,None
1788791614,"The Make-up Manual: Your Beauty Guide for Brows, Eyes, Skin, Lips and More",640.94,,4.6,972.0,,None
B0DJKBB11S,Makyaj Çantası Sert Kapaklı Kozmetik Seyahat Organizeri Çok Amaçlı Mavi,449.9,,4.4,47.0,,None
B0F6NQQTTV,3 Katlı Makyaj Organizeri Kozmetik Aksesuar Düzenleyici Kozmetik Vitrini (Duman Gri),269.99,,3.2,3.0,,None
B085B24S2J,Guerlain Terracotta Matte Sculpting Powder Moyen Medium Pudra,3393.0,3393.0,4.6,32.0,,None
